zip,metro,area_name,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br
94108,SF,"San Francisco, CA HUD Metro FMR Area",2070,2540,3030,3710,4030
94109,SF,"San Francisco, CA HUD Metro FMR Area",2070,2540,3030,3710,4030
94110,SF,"San Francisco, CA HUD Metro FMR Area",2070,2540,3030,3710,4030
94111,SF,"San Francisco, CA HUD Metro FMR Area",2540,3110,3710,4630,4920
94112,SF,"San Francisco, CA HUD Metro FMR Area",2070,2540,3030,3710,4030
94114,SF,"San Francisco, CA HUD Metro FMR Area",2320,2840,3390,4230,4490
94115,SF,"San Francisco, CA HUD Metro FMR Area",2430,2970,3540,4420,4690
94116,SF,"San Francisco, CA HUD Metro FMR Area",2500,3060,3650,4550,4840
94117,SF,"San Francisco, CA HUD Metro FMR Area",2290,2800,3340,4170,4430
94118,SF,"San Francisco, CA HUD Metro FMR Area",2070,2540,3030,3710,4030
94121,SF,"San Francisco, CA HUD Metro FMR Area",2070,2540,3030,3710,4030
94122,SF,"San Francisco, CA HUD Metro FMR Area",2070,2540,3030,3710,4030
94123,SF,"San Francisco, CA HUD Metro FMR Area",2740,3350,4000,4990,5300
94124,SF,"San Francisco, CA HUD Metro FMR Area",2070,2540,3030,3710,4030
94127,SF,"San Francisco, CA HUD Metro FMR Area",2940,3610,4310,5270,5740
94128,SF,"San Francisco, CA HUD Metro FMR Area",2440,2980,3560,4440,4720
94129,SF,"San Francisco, CA HUD Metro FMR Area",2620,3240,3880,4770,5210
94130,SF,"San Francisco, CA HUD Metro FMR Area",2280,2790,3330,4150,4410
94131,SF,"San Francisco, CA HUD Metro FMR Area",2370,2900,3460,4320,4590
94132,SF,"San Francisco, CA HUD Metro FMR Area",2070,2540,3030,3710,4030
94133,SF,"San Francisco, CA HUD Metro FMR Area",2070,2540,3030,3710,4030
94134,SF,"San Francisco, CA HUD Metro FMR Area",2070,2540,3030,3710,4030
94158,SF,"San Francisco, CA HUD Metro FMR Area",2890,3560,4240,5250,5650
94188,SF,"San Francisco, CA HUD Metro FMR Area",2170,2660,3170,3950,4200
94401,SF,"San Francisco, CA HUD Metro FMR Area",2100,2560,3060,3820,4060
94402,SF,"San Francisco, CA HUD Metro FMR Area",2780,3400,4060,5060,5380
94403,SF,"San Francisco, CA HUD Metro FMR Area",2730,3340,3980,4960,5280
94404,SF,"San Francisco, CA HUD Metro FMR Area",3130,3820,4560,5690,6050
94901,SF,"San Francisco, CA HUD Metro FMR Area",2070,2540,3030,3710,4030
94903,SF,"San Francisco, CA HUD Metro FMR Area",2590,3170,3780,4710,5010
94904,SF,"San Francisco, CA HUD Metro FMR Area",2070,2540,3030,3740,4030
94920,SF,"San Francisco, CA HUD Metro FMR Area",2890,3530,4210,5250,5580
94925,SF,"San Francisco, CA HUD Metro FMR Area",2770,3390,4040,5040,5360
94929,SF,"San Francisco, CA HUD Metro FMR Area",2250,2770,3320,4060,4450
94930,SF,"San Francisco, CA HUD Metro FMR Area",2070,2540,3030,3740,4030
94937,SF,"San Francisco, CA HUD Metro FMR Area",2070,2540,3030,3710,4030
94939,SF,"San Francisco, CA HUD Metro FMR Area",2550,3120,3720,4640,4930
94940,SF,"San Francisco, CA HUD Metro FMR Area",2070,2540,3030,3710,4030
94941,SF,"San Francisco, CA HUD Metro FMR Area",2530,3090,3690,4600,4890
94945,SF,"San Francisco, CA HUD Metro FMR Area",2070,2540,3030,3710,4030
94946,SF,"San Francisco, CA HUD Metro FMR Area",2070,2540,3030,3710,4030
94947,SF,"San Francisco, CA HUD Metro FMR Area",2070,2540,3030,3710,4030
94949,SF,"San Francisco, CA HUD Metro FMR Area",2150,2620,3130,3900,4150
94950,SF,"San Francisco, CA HUD Metro FMR Area",2070,2540,3030,3710,4030
94956,SF,"San Francisco, CA HUD Metro FMR Area",2070,2540,3030,3710,4030
94957,SF,"San Francisco, CA HUD Metro FMR Area",2840,3470,4140,5160,5490
94960,SF,"San Francisco, CA HUD Metro FMR Area",2210,2710,3230,4030,4280
94963,SF,"San Francisco, CA HUD Metro FMR Area",2280,2780,3320,4150,4400
94964,SF,"San Francisco, CA HUD Metro FMR Area",2290,2800,3340,4170,4430
94965,SF,"San Francisco, CA HUD Metro FMR Area",2450,2990,3570,4450,4730
94970,SF,"San Francisco, CA HUD Metro FMR Area",2070,2540,3030,3810,4070
94971,SF,"San Francisco, CA HUD Metro FMR Area",2070,2540,3030,3710,4030
94973,SF,"San Francisco, CA HUD Metro FMR Area",2070,2540,3030,3710,4030
94028,SF,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR
Area",2550,3050,3600,4550,4880
94060,SF,"Santa Cruz-Watsonville, CA MSA",2570,2980,3650,4500,4960
95001,SF,"Santa Cruz-Watsonville, CA MSA",3050,3220,4220,5250,5600
94945,SF,"Santa Rosa, CA MSA",2070,2540,3030,3710,4030
23060,Richmond,"Richmond, VA MSA",1660,1730,1910,2420,2990
23075,Richmond,"Richmond, VA MSA",1380,1440,1590,2010,2490
23112,Richmond,"Richmond, VA MSA",1770,1840,2040,2580,3190
23113,Richmond,"Richmond, VA MSA",1770,1840,2040,2580,3190
23114,Richmond,"Richmond, VA MSA",1800,1870,2070,2620,3240
23120,Richmond,"Richmond, VA MSA",2230,2320,2570,3250,4020
23150,Richmond,"Richmond, VA MSA",1360,1410,1560,1980,2440
23219,Richmond,"Richmond, VA MSA",1530,1590,1760,2230,2750
23220,Richmond,"Richmond, VA MSA",1750,1820,2010,2540,3150
23221,Richmond,"Richmond, VA MSA",1750,1820,2010,2540,3150
23222,Richmond,"Richmond, VA MSA",1240,1290,1430,1810,2240
23223,Richmond,"Richmond, VA MSA",1360,1410,1560,1980,2440
23224,Richmond,"Richmond, VA MSA",1300,1350,1490,1890,2330
23225,Richmond,"Richmond, VA MSA",1460,1520,1680,2130,2630
23226,Richmond,"Richmond, VA MSA",1950,2020,2240,2840,3510
23227,Richmond,"Richmond, VA MSA",1360,1410,1560,1980,2440
23228,Richmond,"Richmond, VA MSA",1580,1640,1820,2300,2850
23229,Richmond,"Richmond, VA MSA",1460,1520,1680,2130,2630
23230,Richmond,"Richmond, VA MSA",1600,1660,1840,2330,2880
23231,Richmond,"Richmond, VA MSA",1370,1420,1570,1990,2460
23232,Richmond,"Richmond, VA MSA",1430,1480,1640,2080,2570
23233,Richmond,"Richmond, VA MSA",1810,1880,2080,2630,3250
23234,Richmond,"Richmond, VA MSA",1340,1390,1540,1950,2410
23235,Richmond,"Richmond, VA MSA",1730,1800,1990,2520,3110
23236,Richmond,"Richmond, VA MSA",1720,1790,1980,2510,3100
23237,Richmond,"Richmond, VA MSA",1490,1540,1710,2170,2680
23238,Richmond,"Richmond, VA MSA",1690,1750,1940,2460,3040
23242,Richmond,"Richmond, VA MSA",1540,1600,1770,2240,2770
23250,Richmond,"Richmond, VA MSA",1540,1600,1770,2240,2770
23255,Richmond,"Richmond, VA MSA",1540,1600,1770,2240,2770
23294,Richmond,"Richmond, VA MSA",1720,1790,1980,2510,3100
23831,Richmond,"Richmond, VA MSA",1660,1730,1910,2420,2990
23832,Richmond,"Richmond, VA MSA",1920,2000,2210,2800,3460
23834,Richmond,"Richmond, VA MSA",1360,1410,1560,1980,2440
23836,Richmond,"Richmond, VA MSA",1710,1780,1970,2490,3080
23838,Richmond,"Richmond, VA MSA",1640,1690,1890,2430,2960
